Sector,Latitude,Longitude
A-Zone,18.729756, 82.823519
B-Zone,18.734286, 82.824893
C-Zone,18.727353, 82.829956
D-Zone,18.726490, 82.826431
E-Zone,18.725945, 82.823907
F-Zone,18.727973, 82.823213
G-Zone,18.726977, 82.821228
H-Zone,18.725463, 82.822130
I-Zone,18.722191, 82.820432
J-Zone,18.725382, 82.819480
K-Zone,18.727465, 82.819587
L-Zone,18.719503, 82.826319
M-Zone,18.731524, 82.832188
N-Zone,18.727277, 82.832311
P-Zone,18.727720, 82.831858
R-Zone,18.720957, 82.814566
V-Zone,18.727279, 82.832319
